Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
3350000	-14.88	-14.61	6941	0.047125	7.0625e-05
3360000	-14.7	-14.61	6957	0.046900000000000004	7.05e-05
3370000	-14.79	-14.61	6974	0.046674999999999994	7.0375e-05
3380000	-14.87	-14.61	6990	0.04645	7.025e-05
3390000	-14.84	-14.61	7006	0.046224999999999995	7.0125e-05
3400000	-14.76	-14.61	7023	0.046	7.000000000000001e-05
3410000	-14.64	-14.61	7039	0.045774999999999996	6.9875e-05
3420000	-14.73	-14.57	7055	0.04555	6.975e-05
3430000	-14.66	-14.57	7071	0.045325	6.9625e-05
3440000	-14.47	-14.44	7086	0.0451	6.950000000000001e-05
3450000	-14.61	-14.43	7103	0.044875	6.937499999999999e-05
3460000	-14.55	-14.43	7120	0.04465	6.925e-05
3470000	-14.71	-14.43	7137	0.04442499999999999	6.9125e-05
3480000	-14.63	-14.43	7153	0.044199999999999996	6.9e-05
3490000	-14.82	-14.43	7170	0.04397499999999999	6.887500000000001e-05
3500000	-15.12	-14.43	7187	0.04375	6.875e-05
3510000	-14.93	-14.43	7203	0.043525	6.8625e-05
3520000	-15.0	-14.43	7219	0.0433	6.850000000000001e-05
3530000	-14.94	-14.43	7236	0.043075	6.837500000000001e-05
3540000	-15.1	-14.43	7252	0.04285	6.825e-05
3550000	-15.03	-14.43	7269	0.042625	6.8125e-05
3560000	-14.91	-14.43	7285	0.0424	6.8e-05
3570000	-14.85	-14.43	7301	0.042175000000000004	6.787500000000001e-05
3580000	-14.84	-14.43	7318	0.041949999999999994	6.775e-05
3590000	-14.84	-14.43	7334	0.041725000000000005	6.7625e-05
3600000	-14.82	-14.43	7351	0.041499999999999995	6.75e-05
3610000	-14.77	-14.43	7368	0.041275	6.7375e-05
3620000	-14.76	-14.43	7383	0.041049999999999996	6.725000000000001e-05
3630000	-14.96	-14.43	7400	0.040825	6.7125e-05
3640000	-15.08	-14.43	7416	0.0406	6.7e-05
3650000	-15.08	-14.43	7433	0.040375	6.687500000000001e-05
3660000	-15.09	-14.43	7449	0.04015	6.675e-05
3670000	-14.9	-14.43	7463	0.039925	6.6625e-05
3680000	-14.86	-14.43	7479	0.03969999999999999	6.65e-05
3690000	-14.83	-14.43	7495	0.039474999999999996	6.6375e-05
3700000	-14.63	-14.43	7509	0.03924999999999999	6.625e-05
3710000	-14.59	-14.43	7523	0.039025	6.6125e-05
3720000	-14.45	-14.43	7537	0.038799999999999994	6.6e-05
3730000	-14.24	-14.21	7551	0.038575	6.5875e-05
3740000	-14.43	-14.21	7566	0.038349999999999995	6.575e-05
3750000	-14.38	-14.21	7581	0.038125	6.562500000000001e-05
3760000	-14.42	-14.21	7597	0.0379	6.55e-05
3770000	-14.49	-14.21	7612	0.037675	6.5375e-05
3780000	-14.41	-14.21	7627	0.03745	6.525000000000001e-05
3790000	-14.57	-14.21	7642	0.037224999999999994	6.5125e-05
3800000	-14.61	-14.21	7657	0.037000000000000005	6.500000000000001e-05
3810000	-14.58	-14.21	7672	0.036775	6.4875e-05
3820000	-14.74	-14.21	7687	0.03655	6.475e-05
3830000	-14.89	-14.21	7702	0.036324999999999996	6.462500000000001e-05
3840000	-15.21	-14.21	7717	0.03610000000000001	6.45e-05
3850000	-15.24	-14.21	7732	0.03587499999999999	6.4375e-05
3860000	-15.43	-14.21	7748	0.03565	6.425e-05
3870000	-15.73	-14.21	7763	0.035425	6.4125e-05
3880000	-15.64	-14.21	7778	0.035199999999999995	6.400000000000001e-05
3890000	-15.89	-14.21	7793	0.03497499999999999	6.3875e-05
3900000	-15.65	-14.21	7809	0.03475	6.375e-05
3910000	-15.43	-14.21	7825	0.034525	6.3625e-05
3920000	-15.4	-14.21	7840	0.0343	6.35e-05
3930000	-15.02	-14.21	7853	0.034074999999999994	6.337500000000001e-05
3940000	-15.06	-14.21	7869	0.033850000000000005	6.325e-05
3950000	-14.89	-14.21	7885	0.03362499999999999	6.3125e-05
3960000	-14.63	-14.21	7901	0.0334	6.300000000000001e-05
3970000	-14.46	-14.21	7916	0.033174999999999996	6.2875e-05
3980000	-14.55	-14.21	7932	0.03294999999999999	6.275000000000001e-05
3990000	-14.76	-14.21	7949	0.03272499999999999	6.262499999999999e-05
4000000	-14.73	-14.21	7966	0.0325	6.25e-05
4010000	-14.73	-14.21	7982	0.032275	6.237500000000001e-05
4020000	-14.64	-14.21	7997	0.032049999999999995	6.225e-05
4030000	-14.87	-14.21	8014	0.031825000000000006	6.2125e-05
4040000	-14.99	-14.21	8031	0.0316	6.2e-05
4050000	-15.08	-14.21	8047	0.031375	6.1875e-05
4060000	-14.99	-14.21	8063	0.031149999999999997	6.175000000000001e-05
4070000	-14.94	-14.21	8079	0.030924999999999994	6.162500000000001e-05
4080000	-14.8	-14.21	8093	0.03069999999999999	6.15e-05
4090000	-14.62	-14.21	8109	0.030475000000000002	6.137500000000001e-05
4100000	-14.39	-14.21	8124	0.03025	6.125e-05
4110000	-14.27	-14.21	8140	0.030024999999999996	6.112500000000001e-05
4120000	-14.34	-14.16	8156	0.029799999999999993	6.1e-05
4130000	-13.96	-13.96	8170	0.029575000000000004	6.0875e-05
4140000	-14.1	-13.91	8184	0.02935	6.075e-05
4150000	-14.04	-13.91	8198	0.029124999999999998	6.0625e-05
4160000	-14.03	-13.91	8213	0.028899999999999995	6.05e-05
4170000	-14.3	-13.91	8229	0.028674999999999992	6.0375000000000004e-05
4180000	-14.28	-13.91	8244	0.02844999999999999	6.025e-05
4190000	-14.21	-13.91	8258	0.028225	6.0125000000000005e-05
4200000	-14.5	-13.91	8273	0.027999999999999997	6e-05
4210000	-14.57	-13.91	8288	0.027774999999999994	5.9875000000000005e-05
4220000	-14.53	-13.91	8302	0.02754999999999999	5.975e-05
4230000	-14.18	-13.91	8316	0.027325000000000002	5.9625000000000006e-05
4240000	-14.17	-13.91	8332	0.0271	5.95e-05
4250000	-14.3	-13.91	8348	0.026874999999999996	5.9375e-05
4260000	-14.26	-13.91	8363	0.026650000000000007	5.9250000000000004e-05
4270000	-14.19	-13.91	8378	0.02642499999999999	5.9125e-05
4280000	-14.22	-13.91	8393	0.0262	5.9000000000000004e-05
4290000	-14.32	-13.91	8407	0.025974999999999998	5.8875e-05
4300000	-14.05	-13.91	8421	0.025749999999999995	5.8750000000000005e-05
4310000	-14.06	-13.91	8437	0.025524999999999992	5.8625e-05
